Fold,Accuracy,Precision,Recall,F1-Score
1,0.9619047619047619,0.8333333333333334,0.9375,0.8823529411764706
2,0.9333333333333333,0.8,0.75,0.7741935483870969
3,0.9619047619047619,1.0,0.7647058823529411,0.8666666666666666
4,0.9904761904761905,0.9444444444444444,1.0,0.9714285714285714
5,0.9428571428571428,0.8235294117647058,0.8235294117647058,0.8235294117647058
