Dataset,Accuracy,Precision,Recall,F1 Score,ROC AUC
LUAD,0.8633093525179856,0.08695652173913043,0.10526315789473684,0.09523809523809525,0.5351554562080878
LUSC,0.7707006369426752,0.058823529411764705,0.3333333333333333,0.1,0.5888520971302429
BRCA,0.9746001881467544,0.08695652173913043,0.25,0.12903225806451613,0.7699052132701423
