Selected Features
E2F2
MSH4
FECH
SPTB
CACNG4
MLH1
TCF7
ME2
MAPRE3
TLL2
TNFRSF10A
TNNT1
RFX4
GNLY
KLHL31
KIR2DL1
ULBP2
SCO1
NARS1
KLRC1
SLC39A5
ARK2C
SMAD4
LYG1
TRIM7
SYTL5
CHMP7
CATSPER3
SKA1
MCU
LYPD5
NOL9
RPL22L1
EML5
GNG4
MLKL
PLA2G4F
MRM3
SWSAP1
FOXL1
ALOXE3
CRELD2
MUC6
TPCN1
CCK
KCNRG
LTN1
POU5F1B
HMSD
FBXW10B
