"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GCNT2",-4.85200082075969,5.6374160292243,-19.8917568937957,2.17165338296417e-65,1.30882447029275e-62,138.138108929813
"ENPP6",-4.23258682655404,3.03817544032259,-19.7540045061799,1.01000927874084e-64,5.91809325715538e-62,136.611427438136
"CLDN23",-3.53286129080388,9.04639426055452,-19.6409085667289,3.56415782187396e-64,2.03195527282728e-61,135.358966980194
"PKIB",-5.01581689848429,7.9614031483156,-19.6358690668333,3.77007470409496e-64,2.09278831074156e-61,135.30317886675
"NRXN1",-6.12456900500818,2.65465663716497,-19.5706644309996,7.79636046148833e-64,4.21683147627269e-61,134.581517881915
"GFRA2",-4.66530942629023,4.22616947858146,-19.3511740000018,8.9749688050021e-63,4.73294979931786e-60,132.154630470539
"ASPA",-4.79152462061454,3.76170188917447,-19.3392569666956,1.02470608406701e-62,5.27198783836816e-60,132.022973032979
"SLC51A",-4.2391042088475,6.88835451994271,-19.3195604168389,1.27565821437963e-62,6.40684151764855e-60,131.805394049378
"ABCA8",-6.26905862248717,5.00795413938822,-19.2138270901256,4.13228554079015e-62,2.02712630691691e-59,130.637953711893
"CA1",-9.97621967282622,5.80312787094666,-19.130755171775,1.03980321039199e-61,4.9849111181838e-59,129.721392979791
"GCG",-7.6672658645569,3.31535205854957,-19.1238312858256,1.12290223848423e-61,5.26366662635254e-59,129.645026555996
"CNGB1",-3.75744025636303,1.68637453484455,-19.0595680711254,2.29174259417244e-61,1.0509134409016e-58,128.936444163786
"BMP3",-7.20550717848408,4.77113098924836,-18.9855243422358,5.21123898451906e-61,2.32687707461985e-58,128.120483028642
"MAMDC2",-6.19371244841859,4.36873618892697,-18.9840888309022,5.29487530016843e-61,2.32687707461985e-58,128.104668699899
"LYVE1",-5.20857069808272,6.03664424243257,-18.9749772475019,5.85792185696702e-61,2.52177558471147e-58,128.004295299557
"CD177",-7.81054166095689,6.94049771285396,-18.9407852442426,8.55866958805604e-61,3.61073152580908e-58,127.627704748476
"PI16",-6.37571908411511,3.98983079342924,-18.8909826196428,1.48648539731505e-60,6.14822019038502e-58,127.079376903268
"TAT",-4.04207903082383,2.63489746765402,-18.8695414156332,1.88516187595146e-60,7.64723165602311e-58,126.843382069339
"SCARA5",-6.37227499777611,6.20522806344165,-18.8579215697173,2.1441849728735e-60,8.53385619203651e-58,126.715505630929
"GLP2R",-4.94117963449078,4.58570419272588,-18.7092791457868,1.11173739266905e-59,4.34277565943723e-57,125.080873744092
"RIMS4",-4.73359442262579,2.02117236004362,-18.6900257523444,1.37565688457492e-59,5.27601933149515e-57,124.869306020309
"TUBB4A",-4.27938720997151,3.31100513407195,-18.6591602838169,1.93542550264075e-59,7.29033313441142e-57,124.530217859934
