Selected Features
DNAH5
ANO2
TEAD2
BAX
RFX2
PYGL
SNPH
CST4
ATG4A
SLCO1B3
RBP2
BRME1
CC2D1A
RBM38
GRP
PHLDA1
PADI3
SPAG16
CCZ1B
RIPPLY1
HNMT
TEX30
CARHSP1
MPZ
RNF183
ADAMTS15
IGF2
KLK4
TMC8
CNNM3
INPP5D
FRMPD2
PKIA
MYEOV
ZFP3
CCSER1
NLRP9
RASA3
NANOS1
CGB5
UGT2B17
ERICH2
ARSH
MBLAC1
MRLN
SPRR2A
PWP2
TTC4
SLC6A14
CASTOR2
