#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BGLAP	MGP	9606.ENSP00000357255	9606.ENSP00000228938	0	0	0	0	0	0	0	0.933	0.933
BGLAP	FABP4	9606.ENSP00000357255	9606.ENSP00000256104	0	0	0	0	0	0	0	0.610	0.610
BGLAP	NTRK2	9606.ENSP00000357255	9606.ENSP00000277120	0	0	0	0	0	0	0	0.416	0.416
BGLAP	MMP3	9606.ENSP00000357255	9606.ENSP00000299855	0	0	0	0	0.055	0	0	0.448	0.456
BGLAP	WNT10B	9606.ENSP00000357255	9606.ENSP00000301061	0	0	0	0	0	0	0	0.526	0.526
BGLAP	BGN	9606.ENSP00000357255	9606.ENSP00000327336	0	0	0	0	0	0	0	0.512	0.512
BGLAP	NOG	9606.ENSP00000357255	9606.ENSP00000328181	0	0	0	0	0	0	0	0.709	0.709
BGLAP	PXDNL	9606.ENSP00000357255	9606.ENSP00000348645	0	0	0	0	0.075	0	0	0.599	0.614
BGLAP	FNDC5	9606.ENSP00000357255	9606.ENSP00000362570	0	0	0	0	0	0	0	0.446	0.446
BGLAP	BMP5	9606.ENSP00000357255	9606.ENSP00000359866	0	0	0	0	0	0	0	0.538	0.538
BGLAP	PTH1R	9606.ENSP00000357255	9606.ENSP00000402723	0	0	0	0	0.055	0	0	0.588	0.594
BGLAP	NFATC1	9606.ENSP00000357255	9606.ENSP00000389377	0	0	0	0	0	0	0	0.628	0.628
BGN	TIMP1	9606.ENSP00000327336	9606.ENSP00000218388	0	0	0	0	0.174	0.045	0	0.508	0.578
BGN	COMP	9606.ENSP00000327336	9606.ENSP00000222271	0	0	0	0	0.267	0.099	0	0.616	0.724
BGN	SERPINE1	9606.ENSP00000327336	9606.ENSP00000223095	0	0	0	0	0.133	0	0	0.359	0.420
BGN	MGP	9606.ENSP00000327336	9606.ENSP00000228938	0	0	0	0	0.336	0	0	0.431	0.606
BGN	CHPF	9606.ENSP00000327336	9606.ENSP00000243776	0	0	0	0	0.082	0	0.400	0.311	0.587
BGN	CILP	9606.ENSP00000327336	9606.ENSP00000261883	0	0	0	0	0.072	0	0	0.410	0.429
BGN	MMP3	9606.ENSP00000327336	9606.ENSP00000299855	0	0	0	0	0.161	0	0	0.527	0.586
BGN	CHST13	9606.ENSP00000327336	9606.ENSP00000317404	0	0	0	0	0	0	0.400	0.113	0.445
BGN	MMP1	9606.ENSP00000327336	9606.ENSP00000322788	0	0	0	0	0.126	0	0	0.441	0.491
BGN	UST	9606.ENSP00000327336	9606.ENSP00000356433	0	0	0	0	0	0	0.400	0.125	0.452
BGN	PRELP	9606.ENSP00000327336	9606.ENSP00000343924	0	0	0.183	0.701	0.182	0	0	0.561	0.681
BMP5	NOG	9606.ENSP00000359866	9606.ENSP00000328181	0	0	0	0	0	0	0.900	0.864	0.985
C16orf86	RAB42	9606.ENSP00000384117	9606.ENSP00000491546	0	0	0	0	0	0	0	0.431	0.431
C2CD2L	PRRT2	9606.ENSP00000338885	9606.ENSP00000456226	0	0	0	0	0	0.046	0	0.407	0.410
C7	C8G	9606.ENSP00000322061	9606.ENSP00000360697	0	0	0	0	0.140	0.900	0.900	0.405	0.994
CALB2	GRP	9606.ENSP00000307508	9606.ENSP00000256857	0	0	0	0	0.063	0.045	0	0.568	0.579
CALB2	NTRK2	9606.ENSP00000307508	9606.ENSP00000277120	0	0	0	0	0.099	0.099	0	0.373	0.446
CALB2	UCHL1	9606.ENSP00000307508	9606.ENSP00000284440	0	0	0	0	0.111	0	0	0.402	0.446
CALB2	CDKN2A	9606.ENSP00000307508	9606.ENSP00000418915	0	0	0	0	0	0.104	0	0.370	0.411
CALB2	DLG4	9606.ENSP00000307508	9606.ENSP00000497806	0	0	0	0	0.084	0.106	0	0.407	0.471
CALB2	PXDNL	9606.ENSP00000307508	9606.ENSP00000348645	0	0	0	0	0	0	0	0.474	0.474
CALB2	MPP2	9606.ENSP00000307508	9606.ENSP00000428182	0	0	0	0	0.085	0.106	0	0.428	0.491
CALB2	DLG2	9606.ENSP00000307508	9606.ENSP00000365272	0	0	0	0	0.083	0.106	0	0.456	0.515
CALB2	TH	9606.ENSP00000307508	9606.ENSP00000370571	0	0	0	0	0	0	0	0.731	0.731
