,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
1,CDH3,0.99,0.833,1.176,0.99[0.833:1.176],0.906
2,CA7,0.976,0.862,1.105,0.976[0.862:1.105],0.701
3,BEST4,0.965,0.842,1.107,0.965[0.842:1.107],0.611
4,KRT80,1.15,0.987,1.34,1.15[0.987:1.34],0.073
5,FAM135B,0.829,0.701,0.981,0.829[0.701:0.981],0.029
6,ETV4,0.993,0.84,1.175,0.993[0.84:1.175],0.938
7,SLC25A34,1.043,0.889,1.222,1.043[0.889:1.222],0.607
8,GUCA2B,0.951,0.873,1.036,0.951[0.873:1.036],0.252
9,ESM1,1.155,0.985,1.353,1.155[0.985:1.353],0.075
10,RXRG,0.997,0.85,1.17,0.997[0.85:1.17],0.971
11,WNT2,0.963,0.831,1.115,0.963[0.831:1.115],0.613
12,SLC30A10,0.974,0.879,1.078,0.974[0.879:1.078],0.609
13,CLEC3B,1.019,0.882,1.177,1.019[0.882:1.177],0.801
14,PYY,0.976,0.894,1.066,0.976[0.894:1.066],0.595
15,ABCG2,1.069,0.937,1.22,1.069[0.937:1.22],0.322
16,ELANE,0.915,0.756,1.107,0.915[0.756:1.107],0.36
17,LINC03040,1.101,0.932,1.3,1.101[0.932:1.3],0.259
18,TMIGD1,0.947,0.875,1.025,0.947[0.875:1.025],0.179
19,CDKN2B.AS1,0.945,0.853,1.048,0.945[0.853:1.048],0.284
20,SCGN,0.924,0.828,1.031,0.924[0.828:1.031],0.158
21,SULT1A2,0.987,0.857,1.137,0.987[0.857:1.137],0.854
22,FOXQ1,1.125,0.981,1.291,1.125[0.981:1.291],0.091
23,C2orf88,0.992,0.853,1.152,0.992[0.853:1.152],0.911
24,PLP1,0.95,0.857,1.052,0.95[0.857:1.052],0.324
25,VEGFD,1.049,0.907,1.212,1.049[0.907:1.212],0.521
26,CA2,0.921,0.824,1.03,0.921[0.824:1.03],0.148
27,SST,0.98,0.878,1.094,0.98[0.878:1.094],0.716
28,FLVCR2.AS1,1.056,0.94,1.186,1.056[0.94:1.186],0.361
29,ABCB11,1.027,0.9,1.172,1.027[0.9:1.172],0.692
30,TEX11,0.842,0.725,0.978,0.842[0.725:0.978],0.025
31,XKR4,1.013,0.885,1.161,1.013[0.885:1.161],0.848
32,USP2,0.976,0.847,1.125,0.976[0.847:1.125],0.734
33,SPIB,0.957,0.861,1.064,0.957[0.861:1.064],0.42
34,MUSK,0.953,0.823,1.105,0.953[0.823:1.105],0.526
35,GCNT2,1.045,0.92,1.187,1.045[0.92:1.187],0.497
36,ENPP6,0.95,0.817,1.105,0.95[0.817:1.105],0.508
37,CLDN23,0.799,0.668,0.956,0.799[0.668:0.956],0.014
38,PKIB,0.98,0.866,1.108,0.98[0.866:1.108],0.743
39,NRXN1,1.042,0.94,1.155,1.042[0.94:1.155],0.43
40,GFRA2,0.995,0.873,1.134,0.995[0.873:1.134],0.936
41,ASPA,1.085,0.951,1.238,1.085[0.951:1.238],0.225
42,SLC51A,1.071,0.919,1.248,1.071[0.919:1.248],0.382
43,ABCA8,1.031,0.934,1.138,1.031[0.934:1.138],0.543
44,CA1,0.983,0.923,1.048,0.983[0.923:1.048],0.605
45,GCG,0.935,0.856,1.021,0.935[0.856:1.021],0.133
46,CNGB1,1.07,0.904,1.266,1.07[0.904:1.266],0.434
47,BMP3,0.961,0.882,1.047,0.961[0.882:1.047],0.358
48,MAMDC2,1.006,0.908,1.115,1.006[0.908:1.115],0.905
49,LYVE1,1.043,0.928,1.174,1.043[0.928:1.174],0.479
50,CD177,0.919,0.844,1,0.919[0.844:1],0.051
51,PI16,1.055,0.964,1.155,1.055[0.964:1.155],0.242
52,TAT,1.03,0.881,1.204,1.03[0.881:1.204],0.712
53,SCARA5,0.945,0.862,1.036,0.945[0.862:1.036],0.226
54,GLP2R,0.905,0.805,1.017,0.905[0.805:1.017],0.095
55,RIMS4,1.131,1.003,1.274,1.131[1.003:1.274],0.045
56,TUBB4A,1.069,0.92,1.242,1.069[0.92:1.242],0.383
57,ECRG4,1.054,0.941,1.181,1.054[0.941:1.181],0.362
58,GUCA2A,0.95,0.876,1.031,0.95[0.876:1.031],0.219
59,TMEM151B,1.194,1.004,1.42,1.194[1.004:1.42],0.045
60,RSPO2,0.989,0.877,1.115,0.989[0.877:1.115],0.856
61,CADM3,1.067,0.973,1.169,1.067[0.973:1.169],0.169
62,AQP8,0.958,0.897,1.024,0.958[0.897:1.024],0.208
63,CTNND2,1.011,0.881,1.161,1.011[0.881:1.161],0.873
64,GRIN2D,1.136,0.973,1.326,1.136[0.973:1.326],0.108
65,SLC17A7,1.157,0.974,1.376,1.157[0.974:1.376],0.098
66,PRIMA1,1.021,0.93,1.12,1.021[0.93:1.12],0.668
67,MT1M,0.995,0.901,1.099,0.995[0.901:1.099],0.924
68,SH2D7,1.032,0.902,1.181,1.032[0.902:1.181],0.644
69,PRSS22,1.022,0.87,1.201,1.022[0.87:1.201],0.791
70,TMEM72,0.93,0.841,1.028,0.93[0.841:1.028],0.156
71,ZNF575,1.095,0.855,1.401,1.095[0.855:1.401],0.474
72,CEMIP,1.042,0.909,1.195,1.042[0.909:1.195],0.553
73,IL6R,1.003,0.852,1.181,1.003[0.852:1.181],0.974
74,PIRT,1.068,0.956,1.192,1.068[0.956:1.192],0.243
75,MAB21L1,1.15,0.989,1.337,1.15[0.989:1.337],0.069
76,TMEM100,0.991,0.887,1.108,0.991[0.887:1.108],0.876
77,CLDN1,1.073,0.924,1.248,1.073[0.924:1.248],0.356
78,PKHD1L1,0.981,0.867,1.109,0.981[0.867:1.109],0.755
79,PLCD1,1.007,0.813,1.248,1.007[0.813:1.248],0.948
80,TPH1,1.052,0.928,1.194,1.052[0.928:1.194],0.428
81,CDKN2B,1.086,0.94,1.255,1.086[0.94:1.255],0.262
82,AMPD1,0.951,0.846,1.07,0.951[0.846:1.07],0.403
83,NSG2,1.052,0.942,1.175,1.052[0.942:1.175],0.372
84,PRKG2,1.079,0.943,1.236,1.079[0.943:1.236],0.268
85,CNTN2,1.111,0.989,1.248,1.111[0.989:1.248],0.076
86,DHRS11,1.002,0.826,1.215,1.002[0.826:1.215],0.984
87,MAL,1.02,0.896,1.162,1.02[0.896:1.162],0.764
88,HMGCLL1,0.982,0.828,1.163,0.982[0.828:1.163],0.83
89,ACADS,1.001,0.819,1.223,1.001[0.819:1.223],0.992
90,MYOT,1.007,0.893,1.136,1.007[0.893:1.136],0.905
91,MOBP,1.037,0.878,1.224,1.037[0.878:1.224],0.672
92,SFRP1,1.044,0.956,1.139,1.044[0.956:1.139],0.338
93,ALPI,1.001,0.905,1.108,1.001[0.905:1.108],0.977
94,CST1,1.019,0.935,1.111,1.019[0.935:1.111],0.663
95,DPP6,1.052,0.94,1.176,1.052[0.94:1.176],0.379
96,PRPH,1.097,0.977,1.233,1.097[0.977:1.233],0.117
97,DMRTA1,1.062,0.938,1.203,1.062[0.938:1.203],0.344
98,FAM107A,1.072,0.943,1.218,1.072[0.943:1.218],0.288
99,HPSE2,0.901,0.794,1.022,0.901[0.794:1.022],0.105
100,LRRN2,1.119,0.989,1.267,1.119[0.989:1.267],0.074
101,PLAC9,1.129,0.94,1.358,1.129[0.94:1.358],0.195
102,ADHFE1,1.11,0.943,1.307,1.11[0.943:1.307],0.208
103,ATCAY,1.078,0.931,1.249,1.078[0.931:1.249],0.314
104,TMEM37,0.99,0.856,1.145,0.99[0.856:1.145],0.895
105,CCN5,1.1,1.004,1.206,1.1[1.004:1.206],0.041
106,SLC51B,0.927,0.841,1.022,0.927[0.841:1.022],0.128
107,GBA3,0.979,0.892,1.076,0.979[0.892:1.076],0.665
108,UGT1A8,1.016,0.924,1.117,1.016[0.924:1.117],0.745
109,SLC26A2,0.951,0.857,1.056,0.951[0.857:1.056],0.35
110,SLC4A4,0.917,0.845,0.996,0.917[0.845:0.996],0.039
111,ADCYAP1R1,1.12,1.006,1.247,1.12[1.006:1.247],0.039
112,NEXMIF,1.054,0.936,1.186,1.054[0.936:1.186],0.385
113,BRINP3,0.997,0.913,1.089,0.997[0.913:1.089],0.947
114,NAP1L2,1.044,0.929,1.174,1.044[0.929:1.174],0.47
115,LINC00484,1.174,0.943,1.461,1.174[0.943:1.461],0.152
116,TRIB3,1.188,0.987,1.43,1.188[0.987:1.43],0.068
117,RPL12P14,1.08,0.918,1.271,1.08[0.918:1.271],0.353
118,SMPDL3A,0.918,0.773,1.091,0.918[0.773:1.091],0.333
119,CCL23,1.03,0.896,1.184,1.03[0.896:1.184],0.681
120,ADGRB3,1.057,0.934,1.196,1.057[0.934:1.196],0.378
121,HPGDS,0.951,0.834,1.085,0.951[0.834:1.085],0.455
122,SCN11A,1.037,0.907,1.185,1.037[0.907:1.185],0.598
123,NAALADL1,1.01,0.869,1.173,1.01[0.869:1.173],0.9
124,SCN7A,1.025,0.94,1.118,1.025[0.94:1.118],0.581
125,CPNE7,1.119,0.987,1.269,1.119[0.987:1.269],0.079
126,KCTD4,1.043,0.902,1.204,1.043[0.902:1.204],0.572
127,PDE6A,0.942,0.836,1.062,0.942[0.836:1.062],0.326
128,ATP1A2,1.036,0.945,1.135,1.036[0.945:1.135],0.45
129,KLF4,0.976,0.823,1.159,0.976[0.823:1.159],0.785
130,C16orf89,0.998,0.894,1.114,0.998[0.894:1.114],0.974
131,PRR7,1.026,0.833,1.263,1.026[0.833:1.263],0.812
132,TMEM220,0.908,0.78,1.056,0.908[0.78:1.056],0.209
133,PHLPP2,1.063,0.886,1.274,1.063[0.886:1.274],0.511
134,MT1F,1,0.851,1.174,1[0.851:1.174],0.998
135,RNF152,1.054,0.909,1.223,1.054[0.909:1.223],0.485
136,FXYD1,1.167,1.014,1.344,1.167[1.014:1.344],0.032
137,SCIRT,1.149,0.988,1.336,1.149[0.988:1.336],0.071
138,CNTFR,1.064,0.979,1.157,1.064[0.979:1.157],0.141
139,SEMA3E,1.085,0.991,1.189,1.085[0.991:1.189],0.078
140,AHCYL2,0.983,0.841,1.151,0.983[0.841:1.151],0.835
141,PDX1,1.006,0.869,1.164,1.006[0.869:1.164],0.938
142,GPT,0.996,0.875,1.134,0.996[0.875:1.134],0.957
143,TP53INP2,1.016,0.859,1.202,1.016[0.859:1.202],0.853
144,TMEM253,0.908,0.783,1.053,0.908[0.783:1.053],0.201
145,ADAMDEC1,1.01,0.902,1.131,1.01[0.902:1.131],0.865
146,P2RY4,1.142,0.962,1.356,1.142[0.962:1.356],0.129
147,SLAMF6P1,0.971,0.85,1.109,0.971[0.85:1.109],0.666
148,CLCA4,0.932,0.876,0.991,0.932[0.876:0.991],0.025
149,CA3.AS1,0.979,0.851,1.127,0.979[0.851:1.127],0.77
150,KCNE2,1.057,0.878,1.273,1.057[0.878:1.273],0.558
151,CHGA,0.995,0.93,1.065,0.995[0.93:1.065],0.895
152,ANPEP,0.969,0.875,1.074,0.969[0.875:1.074],0.548
153,SLC6A19,0.976,0.897,1.062,0.976[0.897:1.062],0.576
154,TINCR,1.09,0.958,1.24,1.09[0.958:1.24],0.189
155,LINC00092,1.053,0.883,1.254,1.053[0.883:1.254],0.567
156,BCHE,1.082,0.983,1.192,1.082[0.983:1.192],0.107
157,GSTM5,1.12,0.971,1.293,1.12[0.971:1.293],0.12
158,LEXM,1.02,0.867,1.201,1.02[0.867:1.201],0.81
159,SCN9A,1.013,0.903,1.136,1.013[0.903:1.136],0.827
160,SLC4A10,1.04,0.927,1.167,1.04[0.927:1.167],0.505
161,CRHBP,1.125,0.943,1.343,1.125[0.943:1.343],0.192
162,MMP7,1.004,0.927,1.086,1.004[0.927:1.086],0.928
163,PTGDR2,0.876,0.744,1.031,0.876[0.744:1.031],0.111
164,NRG2,1.063,0.904,1.249,1.063[0.904:1.249],0.462
165,MT1H,1.042,0.935,1.161,1.042[0.935:1.161],0.458
166,ADH1B,1.008,0.937,1.085,1.008[0.937:1.085],0.824
167,BLACAT1,1.072,0.947,1.214,1.072[0.947:1.214],0.271
168,TMEM82,0.967,0.866,1.081,0.967[0.866:1.081],0.557
169,NLGN1,1.202,1.077,1.341,1.202[1.077:1.341],0.001
170,LINC03070,1.035,0.873,1.227,1.035[0.873:1.227],0.69
171,LIFR,1.022,0.905,1.155,1.022[0.905:1.155],0.723
172,SLC22A18AS,1.014,0.848,1.211,1.014[0.848:1.211],0.882
173,TNXB,1.072,0.963,1.193,1.072[0.963:1.193],0.203
174,RASGEF1C,1.08,0.942,1.24,1.08[0.942:1.24],0.27
175,ZNF536,0.938,0.823,1.069,0.938[0.823:1.069],0.335
176,NEFM,1.054,0.922,1.206,1.054[0.922:1.206],0.441
177,INHBA,1.093,0.969,1.234,1.093[0.969:1.234],0.149
178,CDH19,1.067,0.973,1.17,1.067[0.973:1.17],0.168
179,NAAA,1.023,0.833,1.258,1.023[0.833:1.258],0.826
180,ST6GALNAC6,1.024,0.857,1.222,1.024[0.857:1.222],0.797
181,SLC22A5,1.027,0.804,1.312,1.027[0.804:1.312],0.833
182,GPAT3,0.991,0.843,1.164,0.991[0.843:1.164],0.909
183,MEP1B,0.95,0.859,1.05,0.95[0.859:1.05],0.312
184,CD163L1,0.974,0.847,1.12,0.974[0.847:1.12],0.71
185,SCNN1B,1.006,0.925,1.094,1.006[0.925:1.094],0.89
186,PYGM,1.11,0.972,1.267,1.11[0.972:1.267],0.123
187,SPINK2,1.021,0.905,1.154,1.021[0.905:1.154],0.732
188,ITM2C,0.949,0.805,1.12,0.949[0.805:1.12],0.536
189,FRRS1L,1.011,0.884,1.157,1.011[0.884:1.157],0.873
190,CA4,0.945,0.888,1.007,0.945[0.888:1.007],0.08
191,MS4A12,0.949,0.891,1.011,0.949[0.891:1.011],0.103
192,GDPD2,1.015,0.899,1.147,1.015[0.899:1.147],0.809
193,EPHX4,0.92,0.805,1.052,0.92[0.805:1.052],0.222
194,NKX2.3,1.012,0.88,1.165,1.012[0.88:1.165],0.864
195,PLPP1,1.146,0.931,1.41,1.146[0.931:1.41],0.199
196,NR3C2,0.929,0.805,1.072,0.929[0.805:1.072],0.313
197,GNG7,1.14,0.981,1.324,1.14[0.981:1.324],0.086
198,ELAVL4,1.017,0.888,1.164,1.017[0.888:1.164],0.808
199,TMEM236,0.903,0.817,0.997,0.903[0.817:0.997],0.044
200,TRPM6,1,0.911,1.097,1[0.911:1.097],0.993
201,PDZD4,1.188,1.04,1.357,1.188[1.04:1.357],0.011
202,GREM2,1.013,0.923,1.113,1.013[0.923:1.113],0.781
203,HSD17B2,1.016,0.9,1.147,1.016[0.9:1.147],0.801
204,STMN2,1.014,0.912,1.126,1.014[0.912:1.126],0.802
205,FHL1,1.075,0.936,1.234,1.075[0.936:1.234],0.304
206,LVRN,1.143,0.992,1.317,1.143[0.992:1.317],0.064
207,FUCA1,0.921,0.744,1.14,0.921[0.744:1.14],0.448
208,CNR1,1.053,0.952,1.164,1.053[0.952:1.164],0.318
209,CLEC9A,0.907,0.777,1.059,0.907[0.777:1.059],0.218
210,MDFI,1.156,0.975,1.371,1.156[0.975:1.371],0.096
211,LDHD,1.01,0.89,1.146,1.01[0.89:1.146],0.881
212,TNFRSF13B,0.99,0.883,1.111,0.99[0.883:1.111],0.868
213,SEMA6D,0.953,0.848,1.07,0.953[0.848:1.07],0.415
214,RDH5,1.07,0.899,1.273,1.07[0.899:1.273],0.448
215,SORCS1,1.067,0.962,1.183,1.067[0.962:1.183],0.22
216,CBLN2,0.864,0.757,0.986,0.864[0.757:0.986],0.03
217,DDN,0.992,0.864,1.138,0.992[0.864:1.138],0.906
218,ENAM,0.912,0.797,1.043,0.912[0.797:1.043],0.179
219,IGSF11,1.085,0.937,1.255,1.085[0.937:1.255],0.275
220,SLCO4C1,0.9,0.8,1.013,0.9[0.8:1.013],0.08
221,ABCC13,0.997,0.892,1.114,0.997[0.892:1.114],0.957
222,GRIK3,1.083,0.959,1.222,1.083[0.959:1.222],0.198
223,RETSAT,1.09,0.867,1.37,1.09[0.867:1.37],0.462
224,PDK4,1.043,0.918,1.184,1.043[0.918:1.184],0.52
225,TAGLN3,1.008,0.888,1.145,1.008[0.888:1.145],0.901
226,MEF2C.AS1,1.112,0.958,1.29,1.112[0.958:1.29],0.162
227,CTNNA3,1.053,0.941,1.179,1.053[0.941:1.179],0.367
228,CNGA3,1.074,0.948,1.216,1.074[0.948:1.216],0.264
229,ANGPTL1,1.064,0.974,1.161,1.064[0.974:1.161],0.167
230,PKNOX2,1.097,0.954,1.261,1.097[0.954:1.261],0.195
231,TMEM220.AS1,0.96,0.827,1.114,0.96[0.827:1.114],0.589
232,KLK6,0.98,0.913,1.051,0.98[0.913:1.051],0.567
233,UNC5D,0.921,0.788,1.076,0.921[0.788:1.076],0.3
234,NPY6R,0.907,0.83,0.992,0.907[0.83:0.992],0.033
235,CHAD,1.049,0.91,1.209,1.049[0.91:1.209],0.51
236,CITED2,1.08,0.866,1.346,1.08[0.866:1.346],0.496
237,FGFBP2,1.103,0.945,1.288,1.103[0.945:1.288],0.214
238,ENTPD5,0.99,0.852,1.149,0.99[0.852:1.149],0.891
239,GRIN2A,1.069,0.936,1.221,1.069[0.936:1.221],0.323
240,OTX1,1.053,0.937,1.184,1.053[0.937:1.184],0.388
241,SLC16A12,1.061,0.907,1.242,1.061[0.907:1.242],0.457
242,PTGS1,1.023,0.876,1.196,1.023[0.876:1.196],0.773
243,EMILIN3,0.91,0.772,1.073,0.91[0.772:1.073],0.261
244,MPZ,1.078,0.924,1.258,1.078[0.924:1.258],0.338
245,C1QTNF9,1.031,0.873,1.218,1.031[0.873:1.218],0.719
246,P2RX1,0.992,0.853,1.154,0.992[0.853:1.154],0.915
247,ACKR2,1.012,0.873,1.174,1.012[0.873:1.174],0.871
248,SECTM1,1.016,0.892,1.156,1.016[0.892:1.156],0.814
249,ASB2,0.994,0.865,1.141,0.994[0.865:1.141],0.928
250,SSTR2,1.132,0.956,1.341,1.132[0.956:1.341],0.152
251,PADI2,0.973,0.872,1.087,0.973[0.872:1.087],0.631
252,SNAP91,1.11,0.991,1.243,1.11[0.991:1.243],0.071
253,HSD11B2,1.012,0.863,1.185,1.012[0.863:1.185],0.886
254,SCN2B,1.059,0.947,1.184,1.059[0.947:1.184],0.317
255,MYOM1,1.15,0.999,1.323,1.15[0.999:1.323],0.052
256,PDE2A,1.119,0.961,1.303,1.119[0.961:1.303],0.148
257,TMEM59L,1.195,1.051,1.358,1.195[1.051:1.358],0.006
258,CUX2,1.107,0.917,1.338,1.107[0.917:1.338],0.291
259,BEX1,1.075,0.961,1.203,1.075[0.961:1.203],0.207
260,GPM6A,1.053,0.965,1.15,1.053[0.965:1.15],0.245
261,GPR15,0.921,0.839,1.012,0.921[0.839:1.012],0.086
262,SRPX,1.166,1.008,1.349,1.166[1.008:1.349],0.039
263,OGN,1.034,0.956,1.118,1.034[0.956:1.118],0.406
264,CPEB1,1.049,0.923,1.193,1.049[0.923:1.193],0.463
265,LILRB5,0.981,0.859,1.12,0.981[0.859:1.12],0.773
266,CTSG,0.964,0.873,1.064,0.964[0.873:1.064],0.462
267,LINC02577,1.022,0.916,1.141,1.022[0.916:1.141],0.691
268,JPH4,1.122,0.966,1.302,1.122[0.966:1.302],0.131
269,AFF3,1.084,0.953,1.234,1.084[0.953:1.234],0.221
270,METTL7A,0.989,0.856,1.143,0.989[0.856:1.143],0.886
271,NEGR1,1.016,0.892,1.158,1.016[0.892:1.158],0.807
272,WSCD1,0.989,0.881,1.109,0.989[0.881:1.109],0.846
273,GPX3,1.202,1.043,1.384,1.202[1.043:1.384],0.011
274,GNG8,1.145,0.954,1.374,1.145[0.954:1.374],0.146
275,ABI3BP,1.096,0.972,1.236,1.096[0.972:1.236],0.134
276,IGHV3OR16.13,0.957,0.856,1.071,0.957[0.856:1.071],0.445
277,DUSP26,1.083,0.956,1.227,1.083[0.956:1.227],0.211
278,SCG3,1.005,0.897,1.127,1.005[0.897:1.127],0.926
279,SLCO4A1,1.121,0.931,1.351,1.121[0.931:1.351],0.227
280,RPH3A,1.144,0.984,1.33,1.144[0.984:1.33],0.081
281,MMP28,1.079,0.951,1.225,1.079[0.951:1.225],0.238
282,STOX2,1.024,0.889,1.179,1.024[0.889:1.179],0.744
283,SDCBP2,1.03,0.883,1.201,1.03[0.883:1.201],0.707
284,CNNM2,1.226,0.963,1.56,1.226[0.963:1.56],0.098
285,GFRA3,1.066,0.945,1.203,1.066[0.945:1.203],0.297
286,DPT,1.059,0.957,1.171,1.059[0.957:1.171],0.271
287,ELFN1.AS1,1.179,1.034,1.345,1.179[1.034:1.345],0.014
288,ENHO,1.021,0.896,1.163,1.021[0.896:1.163],0.76
289,ETHE1,0.912,0.733,1.136,0.912[0.733:1.136],0.411
290,STBD1,1.081,0.877,1.333,1.081[0.877:1.333],0.466
291,MT1G,0.99,0.885,1.107,0.99[0.885:1.107],0.856
292,ADH1C,0.985,0.916,1.059,0.985[0.916:1.059],0.684
293,ANKS1B,1.128,0.983,1.294,1.128[0.983:1.294],0.086
294,PCSK5,1.151,0.993,1.335,1.151[0.993:1.335],0.062
295,TSPAN7,1.058,0.936,1.196,1.058[0.936:1.196],0.364
296,CPM,0.947,0.825,1.088,0.947[0.825:1.088],0.445
297,KLB,1.08,0.907,1.286,1.08[0.907:1.286],0.386
298,CRMA,1.024,0.907,1.157,1.024[0.907:1.157],0.699
299,CD160,0.95,0.808,1.116,0.95[0.808:1.116],0.53
300,C11orf86,0.953,0.878,1.035,0.953[0.878:1.035],0.25
301,UGT1A10,1.05,0.953,1.156,1.05[0.953:1.156],0.326
302,TMCC3,1.025,0.87,1.208,1.025[0.87:1.208],0.771
303,CALY,1.118,0.981,1.274,1.118[0.981:1.274],0.094
304,NPTX1,1.06,0.957,1.173,1.06[0.957:1.173],0.263
305,SMPD1,1.139,0.925,1.403,1.139[0.925:1.403],0.22
306,HTR7,0.971,0.835,1.128,0.971[0.835:1.128],0.7
307,ZG16,0.939,0.887,0.994,0.939[0.887:0.994],0.031
308,RILP,1.156,0.908,1.471,1.156[0.908:1.471],0.24
309,PCDH10,1.118,0.983,1.272,1.118[0.983:1.272],0.088
310,HRK,1.039,0.906,1.19,1.039[0.906:1.19],0.586
311,EDN3,0.948,0.861,1.045,0.948[0.861:1.045],0.282
312,PIANP,1.246,1.064,1.458,1.246[1.064:1.458],0.006
313,EDIL3.DT,1.005,0.857,1.178,1.005[0.857:1.178],0.953
314,HPGD,1.023,0.902,1.16,1.023[0.902:1.16],0.722
315,SFRP5,1.087,0.985,1.199,1.087[0.985:1.199],0.098
316,TTC22,0.996,0.794,1.25,0.996[0.794:1.25],0.975
317,CCDC69,0.957,0.823,1.113,0.957[0.823:1.113],0.569
318,GLTP,1.05,0.84,1.312,1.05[0.84:1.312],0.669
319,ADCY5,1.15,1.017,1.3,1.15[1.017:1.3],0.026
320,ANO5,1.038,0.945,1.14,1.038[0.945:1.14],0.433
321,NOVA1,1.081,0.966,1.209,1.081[0.966:1.209],0.173
322,PEX26,1.013,0.815,1.259,1.013[0.815:1.259],0.905
323,CXCL12,1.076,0.939,1.233,1.076[0.939:1.233],0.291
324,HAND2.AS1,1.087,0.988,1.196,1.087[0.988:1.196],0.087
325,PDE9A.AS1,0.959,0.826,1.114,0.959[0.826:1.114],0.587
326,COL11A1,1.043,0.947,1.148,1.043[0.947:1.148],0.398
327,APPL2,1.041,0.838,1.292,1.041[0.838:1.292],0.718
328,EPB41L3,1.031,0.913,1.163,1.031[0.913:1.163],0.625
329,ANK2,1.065,0.942,1.203,1.065[0.942:1.203],0.316
330,EPHA7,0.999,0.9,1.109,0.999[0.9:1.109],0.99
331,SELENOP,0.916,0.82,1.024,0.916[0.82:1.024],0.122
332,PTN,0.964,0.84,1.108,0.964[0.84:1.108],0.609
333,C1orf115,1.048,0.889,1.236,1.048[0.889:1.236],0.574
334,PLAAT2,1.035,0.915,1.17,1.035[0.915:1.17],0.585
335,CFD,1.092,0.973,1.226,1.092[0.973:1.226],0.136
336,ETFDH,0.985,0.817,1.188,0.985[0.817:1.188],0.877
337,KCNB1,1.102,0.993,1.223,1.102[0.993:1.223],0.068
338,LINC01013,1.113,0.945,1.31,1.113[0.945:1.31],0.199
339,CDHR5,0.976,0.844,1.129,0.976[0.844:1.129],0.743
340,B3GALT5.AS1,0.95,0.854,1.058,0.95[0.854:1.058],0.353
341,NR5A2,0.949,0.824,1.092,0.949[0.824:1.092],0.464
342,C7,1.111,1.02,1.209,1.111[1.02:1.209],0.016
343,GNAO1,1.046,0.928,1.178,1.046[0.928:1.178],0.461
344,NTN1,1.082,0.944,1.241,1.082[0.944:1.241],0.258
345,MAPK4,0.999,0.897,1.113,0.999[0.897:1.113],0.991
346,NEFL,0.988,0.896,1.089,0.988[0.896:1.089],0.803
347,RBPMS2,1.09,0.957,1.242,1.09[0.957:1.242],0.195
348,FGL2,0.983,0.866,1.115,0.983[0.866:1.115],0.786
349,P2RY1,1.014,0.886,1.161,1.014[0.886:1.161],0.835
350,DPYSL5,1.099,0.952,1.27,1.099[0.952:1.27],0.198
351,UGP2,1.039,0.858,1.259,1.039[0.858:1.259],0.696
352,MADCAM1,1.007,0.872,1.163,1.007[0.872:1.163],0.926
353,TSPAN1,0.948,0.815,1.103,0.948[0.815:1.103],0.49
354,TMEM171,1.106,0.946,1.294,1.106[0.946:1.294],0.205
355,P2RY12,1.021,0.9,1.157,1.021[0.9:1.157],0.749
356,PDCD4,1.043,0.861,1.262,1.043[0.861:1.262],0.667
357,VSIR,1.046,0.852,1.285,1.046[0.852:1.285],0.666
358,DNASE1L3,0.898,0.816,0.988,0.898[0.816:0.988],0.027
359,LARGE2,1.042,0.908,1.195,1.042[0.908:1.195],0.559
360,MALL,1.035,0.886,1.208,1.035[0.886:1.208],0.664
361,SLC17A4,0.968,0.876,1.069,0.968[0.876:1.069],0.519
362,GLRA4,0.926,0.817,1.049,0.926[0.817:1.049],0.228
363,CWH43,0.985,0.916,1.059,0.985[0.916:1.059],0.682
364,OR2S1P,1.089,0.935,1.267,1.089[0.935:1.267],0.274
365,BEND4,0.975,0.845,1.125,0.975[0.845:1.125],0.731
366,LDB3,1.077,0.961,1.207,1.077[0.961:1.207],0.203
367,ACSM5,1.099,0.959,1.26,1.099[0.959:1.26],0.174
368,RPL15P21,0.912,0.754,1.103,0.912[0.754:1.103],0.341
369,SULT1A1,1.037,0.877,1.225,1.037[0.877:1.225],0.672
370,P2RY14,0.954,0.838,1.086,0.954[0.838:1.086],0.475
371,PLCL2,1.021,0.886,1.177,1.021[0.886:1.177],0.776
372,PDE9A,0.976,0.853,1.117,0.976[0.853:1.117],0.729
373,GNA11,1.027,0.83,1.272,1.027[0.83:1.272],0.805
374,LEMD1,1.049,0.949,1.159,1.049[0.949:1.159],0.351
375,SLC9A9,1.087,0.931,1.269,1.087[0.931:1.269],0.294
376,ESAM.AS1,1.206,1.002,1.452,1.206[1.002:1.452],0.048
377,ADTRP,1.004,0.915,1.102,1.004[0.915:1.102],0.933
378,UNC5C,0.904,0.783,1.045,0.904[0.783:1.045],0.173
379,CCBE1,1.127,1.023,1.241,1.127[1.023:1.241],0.015
380,LGALS4,0.871,0.731,1.036,0.871[0.731:1.036],0.119
381,PLCE1,1.03,0.863,1.229,1.03[0.863:1.229],0.747
382,CCR10,1.084,0.905,1.298,1.084[0.905:1.298],0.38
383,CEACAM7,0.941,0.876,1.01,0.941[0.876:1.01],0.093
384,NCAM1,0.974,0.858,1.106,0.974[0.858:1.106],0.687
385,SLC25A20,1.027,0.818,1.29,1.027[0.818:1.29],0.818
386,ARHGAP20,1.066,0.938,1.211,1.066[0.938:1.211],0.326
387,EPOP,1.144,0.974,1.345,1.144[0.974:1.345],0.101
388,KIF1A,1.079,0.981,1.186,1.079[0.981:1.186],0.117
