,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
4602,TXK,1.091,0.935,1.274,1.091[0.935:1.274],0.269
4603,TMEM135,1.012,0.833,1.23,1.012[0.833:1.23],0.904
4604,SNX9,1.083,0.863,1.359,1.083[0.863:1.359],0.492
4605,GPD2,1.09,0.885,1.341,1.09[0.885:1.341],0.418
4606,RFLNA,1.121,0.967,1.3,1.121[0.967:1.3],0.131
4607,MAN2B2,1.095,0.874,1.372,1.095[0.874:1.372],0.43
4608,DLSTP1,0.932,0.765,1.137,0.932[0.765:1.137],0.488
4609,RNU6ATAC35P,1.083,0.904,1.297,1.083[0.904:1.297],0.388
4610,ITPRID2,1.035,0.85,1.261,1.035[0.85:1.261],0.733
4611,POGLUT2P1,1.042,0.894,1.214,1.042[0.894:1.214],0.602
4612,RNF186,1.006,0.891,1.136,1.006[0.891:1.136],0.919
4613,PTPRJ,1.114,0.907,1.367,1.114[0.907:1.367],0.303
4614,ERAP1,0.944,0.79,1.128,0.944[0.79:1.128],0.527
4615,ZNF287,1.03,0.895,1.187,1.03[0.895:1.187],0.678
4616,DAPK1,1.214,1.073,1.374,1.214[1.073:1.374],0.002
4617,CBARP,1.113,0.96,1.291,1.113[0.96:1.291],0.157
4618,ZNF334,1.021,0.937,1.113,1.021[0.937:1.113],0.631
4619,LINC01748,1.088,0.993,1.193,1.088[0.993:1.193],0.07
4620,NEK7,1.078,0.894,1.3,1.078[0.894:1.3],0.432
